gene_id_ms,gene_name_ms,gene_name_hu,gene_length,mean_rpkm,max_rpkm,sd_rpkm,x38533_subq,x38533_acral,x38534_subq,x38534_acral,x38536_subq,x38536_acral,x38537_subq,x38537_acral,x38538_subq,x38538_acral
100009600,NA,NA,1010,NA,NA,NA,20,0,9,0,3,4,11,0,5,12
100009609,NA,NA,2538,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100009614,Krtap12-22,NA,564,12.867678826274584,102.73031885808997,36.3100649443639,0,0,0,0,0,0,0,3992,0,7
100009664,NA,NA,2398,NA,NA,NA,0,0,13,0,5,0,0,10,0,0
100012,NA,NA,1854,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100017,Ldlrap1,LDLRAP1,6562,2.8070034709744562,3.9981326045582004,1.0277658470016808,565,1435,390,767,643,808,1038,1663,916,1541
100019,Mdn1,MDN1,18232,2.9212493758282654,4.64925520651816,1.120214095382126,2971,2417,1259,2672,3464,2428,5332,2877,3586,2193
100033459,NA,NA,5507,NA,NA,NA,39,161,0,0,11,52,23,4,44,12
100034251,Wfdc17,NA,469,11.572002553681742,17.117726886644,4.298072179451726,140,278,349,95,638,384,505,409,311,358
100034361,Mfap1b,MFAP1,1887,21.635754494555798,30.583742076097643,5.141233551664848,1713,2142,1400,2219,1391,2082,2827,2009,2794,2720
100034363,Tmsb15b2,NA,681,1.466299906357711,2.9723046684274856,1.1579558113382484,1,39,0,93,33,47,104,41,57,119
100034675,NA,NA,1705,NA,NA,NA,0,0,0,0,2,5,10,3,7,6
100034684,Cstdc5,CSTA,441,29.970635674613256,201.64919765548314,70.63562601916999,0,0,0,0,0,0,0,6127,1,987
100034726,NA,NA,539,8.868871763311418,12.686176870302072,3.266905892060178,208,322,72,231,180,181,206,431,260,402
100034729,NA,NA,2065,NA,NA,NA,0,0,0,0,0,0,0,0,3,0
100034739,NA,NA,3329,NA,NA,NA,78,78,27,94,51,87,131,82,94,81
100034748,NA,NA,2863,NA,NA,NA,0,0,0,0,0,0,4,0,1,1
100036518,NA,NA,1086,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100036520,NA,NA,1678,NA,NA,NA,7,0,0,0,0,0,0,0,1,0
100036521,Umad1,UMAD1,2252,3.2069323829719627,4.906185628032328,1.1414895458950207,401,337,297,380,279,372,695,206,458,342
100036523,Gm16982,NA,2620,5.791165484845613,8.72735115001599,2.617044431304885,976,958,313,737,721,542,1293,369,1107,734
100036537,Gm11149,NA,1275,45.50769384753909,99.81070998483881,37.57571728136227,3145,1147,195,5527,1512,1842,5717,283,6161,2263
100036568,NA,NA,7084,NA,NA,NA,0,0,10,8,4,8,2,0,2,0
100036569,NA,NA,2099,NA,NA,NA,0,11,0,0,1,0,3,2,5,12
100036768,Gm11696,NA,2765,3.0256780598913444,5.600538586485106,1.3281651609577019,416,847,202,547,248,344,461,339,435,364
100037258,Dnajc3,DNAJC3,5163,12.33621065591951,19.29928834938793,4.336060400364153,2145,4483,1714,3476,3628,2490,4993,2957,4824,3288
100037260,9430060I03Rik,NA,1689,1.2039632981620192,1.7215031969857524,0.40493371938057743,110,104,37,150,59,62,168,124,99,101
100037262,Gm12359,NA,1401,4.584089389265359,6.443124222918999,1.4292818680029564,397,452,213,267,298,388,454,287,403,296
100037278,NA,NA,6246,NA,NA,NA,128,39,64,56,125,147,173,82,114,82
100037282,Rsph3b,RSPH3,1614,9.110983051750278,12.555288382399203,2.543462434171036,817,650,1035,746,542,988,913,469,767,899
100037283,Rnaset2a,RNASET2,1154,69.19338778879606,109.83603803522614,23.746598179951935,2150,5195,2860,4613,1797,2545,4484,8733,4803,3073
100037396,D030047H15Rik,NA,2536,2.1132888795168108,4.495996343600349,1.7962649154491754,352,90,11,384,79,107,674,49,552,161
100037413,NA,NA,1316,NA,NA,NA,0,0,0,0,2,0,0,0,1,0
100038347,Fam174b,FAM174B,2678,1.5001799092720063,2.3395335562055255,0.7320428153545787,148,168,320,124,484,289,273,56,301,333
100038353,Gm10532,NA,2301,2.008240761286657,3.9724054360292658,0.866512154875011,402,261,166,142,133,145,245,359,211,211
100038356,Gm15612,NA,3118,2.7510317613678517,6.101261513272756,2.073022928190159,391,95,215,829,272,574,684,98,921,376
100038358,NA,NA,2796,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038363,Mir223hg,NA,2777,0.6508552891718856,1.290392144938134,0.37525889492415215,129,196,48,66,135,83,139,90,83,29
100038371,NA,NA,934,NA,NA,NA,5,0,0,4,5,3,7,0,4,0
100038374,NA,NA,874,NA,NA,NA,0,0,0,2,0,2,4,0,1,0
100038378,NA,NA,1982,NA,NA,NA,1,0,14,0,1,0,6,7,3,2
100038382,NA,NA,357,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038384,NA,NA,8264,NA,NA,NA,38,23,0,0,10,1,2,3,1,12
100038388,NA,NA,8019,NA,NA,NA,0,0,5,0,3,13,2,19,8,2
100038392,Gm10785,NA,1709,2.059614884007953,3.139887395031263,0.9496365152224072,236,49,82,206,166,223,300,182,231,242
100038394,NA,NA,1170,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038410,NA,NA,4259,NA,NA,NA,20,0,0,10,1,6,11,16,0,4
100038411,NA,NA,2872,0.4400440423420807,2.5419719677420005,0.8746625119559732,22,1,0,3,0,6,13,503,10,107
100038417,NA,NA,2359,NA,NA,NA,0,0,0,0,1,0,5,0,0,0
100038429,NA,NA,2280,NA,NA,NA,2,0,0,0,0,0,3,0,3,0
100038433,NA,NA,3129,NA,NA,NA,28,17,0,39,5,29,30,32,47,21
100038437,NA,NA,542,0.24285951467957798,1.7200010154046967,0.5992703660831805,41,0,0,0,0,0,5,0,2,0
100038439,NA,NA,3906,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
100038453,NA,NA,2439,NA,NA,NA,0,0,0,22,0,11,43,7,6,0
100038454,NA,NA,1349,NA,NA,NA,4,20,0,37,17,6,32,16,16,23
100038460,NA,NA,2102,18.84031957693262,43.64655963311892,17.65129656010709,565,661,40,4733,273,490,4920,371,3646,2378
100038464,NA,NA,1673,24.680835766357934,56.33781742561559,14.839272814178841,1484,2894,4814,626,1541,2037,1977,1521,2037,2452
100038467,NA,NA,4202,NA,NA,NA,53,8,77,14,77,66,45,62,22,23
100038468,Gm10684,NA,2203,1.3582991959903714,6.423444596759834,2.151451830283546,210,774,22,18,54,53,76,23,85,55
100038479,NA,NA,1548,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038481,NA,NA,723,NA,NA,NA,0,0,0,0,0,3,0,0,0,0
100038489,NA,NA,974,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038492,NA,NA,10759,0.4983847578535063,1.4370806386429853,0.42074047570057066,680,122,156,194,340,476,509,223,248,114
100038493,NA,NA,2655,NA,NA,NA,0,0,10,0,0,0,4,0,4,0
100038494,NA,NA,1480,NA,NA,NA,0,0,0,0,8,0,0,0,0,0
100038497,NA,NA,9246,NA,NA,NA,180,79,134,55,94,108,189,59,130,113
100038504,NA,NA,1361,NA,NA,NA,44,22,0,6,17,20,11,2,10,13
100038505,NA,NA,501,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038513,Gm14149,NA,1853,1.231723242662149,3.1167533174777065,1.2338393124779616,254,219,0,2,11,20,45,26,140,262
100038514,NA,NA,1028,NA,NA,NA,12,27,28,8,2,16,14,48,20,0
100038516,NA,NA,1134,NA,NA,NA,0,22,0,2,4,0,4,23,2,0
100038522,Dnmt3aos,NA,1385,0.2932574468273314,1.379029783029762,0.44667758762150717,84,0,12,4,24,37,22,13,8,19
100038525,NA,NA,2923,NA,NA,NA,0,0,0,7,8,57,4,7,5,0
100038526,Gm16008,NA,2238,0.7746231951418617,1.9913157203565004,0.5167674385098383,196,100,53,44,68,95,101,121,61,63
100038528,NA,NA,885,NA,NA,NA,25,0,22,0,8,4,6,0,8,0
100038532,NA,NA,945,2.8259416292237294,4.090357299248645,0.9553962711933167,170,81,155,173,61,82,192,84,126,162
100038538,NA,NA,1652,NA,NA,NA,0,23,74,41,25,28,38,7,17,16
100038543,NA,NA,2399,NA,NA,NA,12,34,0,0,2,6,0,7,5,0
100038545,NA,NA,1523,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038554,NA,NA,3655,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038555,NA,NA,2876,NA,NA,NA,12,0,0,0,16,0,8,0,7,0
100038556,NA,NA,762,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038560,NA,NA,1651,6.779086171649738,11.237953185579562,3.4472680922358374,816,416,270,668,311,344,755,154,821,820
100038566,NA,NA,1133,2.6177554103364336,4.203602054304797,1.2343164263678306,115,111,54,245,88,94,204,107,180,280
100038570,Prcd,NA,2527,3.608566677102524,6.568432651799804,2.1527174709592054,730,683,93,243,576,741,908,221,535,508
100038571,NA,NA,537,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038574,NA,NA,2825,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
100038575,NA,NA,3721,NA,NA,NA,0,0,0,0,0,0,3,0,1,6
100038577,NA,NA,1696,NA,NA,NA,0,0,6,0,0,10,6,2,2,21
100038582,NA,NA,1597,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038584,NA,NA,1794,NA,NA,NA,0,0,0,0,2,5,5,0,1,0
100038591,Gm57007,NA,2552,1.6686120914825202,2.274373417262325,0.4317037362532857,169,164,144,233,178,198,295,386,281,223
100038595,NA,NA,2322,NA,NA,NA,0,0,0,7,1,2,6,0,5,1
100038599,NA,NA,3971,NA,NA,NA,28,77,14,4,24,15,6,8,11,20
100038600,NA,NA,2063,NA,NA,NA,7,0,0,0,0,0,0,0,0,0
100038601,NA,NA,1203,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038602,Gm17753,NA,712,6.371592215277556,10.887480296041016,2.421963280291925,238,424,122,124,212,154,308,274,235,271
100038607,NA,NA,2419,NA,NA,NA,0,0,0,0,4,0,0,0,0,0
100038608,Gm10389,NA,3468,1.6591012219514543,4.191114819842779,1.161931982621757,315,795,59,164,404,211,346,446,181,252
100038610,NA,NA,2156,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038614,Gm10791,NA,1654,0.9740661017338178,2.694416313275603,0.7461080874669483,196,78,24,63,50,107,127,76,65,50
100038617,NA,NA,2466,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038618,NA,NA,378,0.8992028069900531,2.5150872921073084,0.8834178383357187,23,52,0,26,5,18,30,4,10,0
100038623,NA,NA,815,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038627,NA,NA,3164,NA,NA,NA,27,52,23,0,17,4,26,14,15,11
100038628,NA,NA,2043,NA,NA,NA,0,0,0,0,2,0,2,0,0,0
100038636,NA,NA,2078,5.965141372389213,9.78481364476533,3.6834362865610055,134,1106,235,186,209,457,1279,1353,605,895
100038638,NA,NA,2743,NA,NA,NA,0,25,0,6,0,10,5,0,2,0
100038653,NA,NA,1879,NA,NA,NA,0,0,0,0,4,0,19,1,2,0
100038654,Gm10371,NA,1411,0.24615245703831057,1.0474431863357152,0.34900687782927836,65,0,29,13,7,21,9,0,4,15
100038657,NA,NA,1545,NA,NA,NA,0,0,26,0,4,0,0,0,0,0
100038659,NA,NA,971,NA,NA,NA,0,0,0,0,0,0,0,0,0,11
100038666,NA,NA,820,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
100038671,NA,NA,1307,1.5664830951537354,3.576014740872521,1.0794368688674518,89,22,161,59,172,100,294,80,134,62
100038689,NA,NA,842,NA,NA,NA,0,0,0,0,20,0,9,0,0,0
100038690,NA,NA,1309,NA,NA,NA,0,0,0,0,3,0,0,0,1,0
100038693,NA,NA,1758,NA,NA,NA,0,0,26,5,8,5,3,7,3,0
100038699,NA,NA,1633,NA,NA,NA,0,7,0,0,2,0,2,20,0,0
100038700,NA,NA,3421,NA,NA,NA,75,25,18,18,19,21,46,8,27,24
100038706,NA,NA,839,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038709,NA,NA,4591,NA,NA,NA,0,0,0,5,0,5,1,30,4,0
100038712,NA,NA,2612,NA,NA,NA,21,15,40,23,16,29,54,40,21,26
100038713,NA,NA,4791,NA,NA,NA,61,0,14,16,23,67,75,61,75,59
100038714,NA,NA,1529,2.0056750274655513,3.8664286093386386,0.9391689012991206,260,176,90,94,106,107,200,106,189,188
100038718,NA,NA,2582,NA,NA,NA,0,0,2,0,0,0,0,0,0,0
100038725,Cep85l,CEP85L,8637,4.904670845360131,7.892001172978951,1.9410464308615023,1969,1585,2414,2420,2044,4275,3509,964,3300,1942
100038726,NA,NA,3629,NA,NA,NA,57,0,8,0,5,0,19,27,2,0
100038728,NA,NA,668,NA,NA,NA,0,0,0,10,0,8,7,0,5,3
100038732,NA,NA,870,NA,NA,NA,0,0,0,0,0,0,0,0,2,0
100038734,NA,NA,3389,NA,NA,NA,1,1,1,9,4,0,1,1,6,0
100038735,NA,NA,2110,NA,NA,NA,0,0,20,12,1,20,20,15,17,19
100038739,NA,NA,2848,NA,NA,NA,38,23,0,19,19,49,58,25,31,16
100038743,NA,NA,1347,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
100038746,Gm1976,NA,1912,2.5771700602049776,3.579503082650692,1.0975161987502284,301,264,65,350,194,436,368,149,297,326
100038752,Gm10825,NA,4548,5.270031785389978,15.148383999176895,4.8323237953409155,3030,600,8,1695,932,1326,1580,257,1608,988
100038755,Gm9917,NA,5230,2.769855855772933,4.182446478054889,1.1007478125105907,696,634,273,835,690,724,1241,540,1059,1029
100038759,NA,NA,3798,NA,NA,NA,0,0,0,0,0,0,0,25,0,0
100038761,Unc45bos,NA,1309,1.73091690075049,9.064061648424724,3.0941094962647724,41,0,606,0,280,412,178,0,121,0
100038847,NA,NA,4901,NA,NA,NA,0,0,13,0,11,2,7,17,10,0
100038850,NA,NA,338,NA,NA,NA,0,0,0,0,2,0,0,0,2,0
100038854,Cstdc6,CSTA,387,8.481304241335188,56.81838369988268,19.90898822674695,0,0,0,0,0,0,0,1515,0,251
