geneid	14154X1	14154X2	14154X3	14154X4	14154X5	14154X7	14154X8	14154X10	14154X11	14154X12	14154X14	14154X15	14154X16	14154X17	14154X19	14154X22	14154X23	14154X24	14154X25	14154X26	14154X27	14154X28
ENSMUSG00000000001	378	24	11	53	210	12	9	147	85	36	124	1648	1935	1574	147	1623	205	86	55	56	10	45
ENSMUSG00000000003	1	6	6	1	1	5	1	5	1	2	0	0	0	0	3	0	4	1	4	0	2	2
ENSMUSG00000000028	34	9	9	9	33	8	5	47	9	17	35	232	322	168	32	208	41	13	19	13	5	12
ENSMUSG00000000031	51	39	14	348	803	7	14	437	22	33	259	374	1157	149	18	112	35	115	20	54	20	1026
ENSMUSG00000000037	7	13	9	4	15	10	6	19	9	14	39	42	86	70	24	21	73	13	12	2	5	11
ENSMUSG00000000049	1	5	3	1	2	11	1	7	8	2	0	1	1	3	2	3	7	2	4	1	3	1
ENSMUSG00000000056	93	21	11	15	59	8	10	63	32	18	81	393	485	680	60	448	127	26	20	25	9	27
ENSMUSG00000000058	246	9	2	17	51	8	5	44	55	10	31	943	433	787	28	980	63	37	32	21	6	12
ENSMUSG00000000078	467	27	13	85	252	15	11	220	170	46	338	1794	1648	1452	329	2472	306	137	88	129	15	46
ENSMUSG00000000085	165	22	10	33	112	22	17	82	30	21	93	512	499	337	45	344	118	19	32	17	17	30
ENSMUSG00000000088	115	16	16	32	56	14	8	47	28	15	45	677	491	424	40	441	23	34	15	17	8	20
ENSMUSG00000000093	35	50	8	11	129	9	13	93	130	17	65	213	425	2868	304	142	51	22	17	17	9	59
ENSMUSG00000000094	3	8	5	8	6	6	4	7	10	10	2	0	2	4	10	0	25	12	6	3	7	3
ENSMUSG00000000103	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	1	0	0
ENSMUSG00000000120	4	3	5	3	1	1	6	33	120	19	110	39	249	3112	296	217	71	6	6	52	4	7
ENSMUSG00000000125	4	5	1	6	4	5	4	3	10	5	0	0	1	2	6	0	5	10	5	7	9	1
ENSMUSG00000000126	22	11	8	18	11	9	4	15	16	16	21	42	41	38	14	67	15	13	3	13	9	21
ENSMUSG00000000127	72	8	10	13	64	6	4	86	39	20	131	298	418	468	42	288	168	25	20	27	9	21
