gene_name_ms,sample_id,rpkm,mouse_num,tumor_type,p_value,p_adj_bonferroni,p_adj_fdr
Itga1,x14154x07,2.7340441891969953,4326,subq,3.184793639223611e-5,9.872860281593195e-4,6.880111997865641e-4
Itga10,x14154x07,6.328707564947806,4326,subq,0.044618592516688316,1,0.08794190352054922
Itga11,x14154x07,4.417645180786683,4326,subq,0.027733076761040615,0.859725379592259,0.0741992688306477
Itga2,x14154x07,4.143069326206904,4326,subq,0.023601045935873626,0.7316324240120824,0.0741992688306477
Itga2b,x14154x07,3.3320815535956863,4326,subq,0.03111582241285226,0.9645904947984201,0.0741992688306477
Itga3,x14154x07,6.001319570147084,4326,subq,0.5511058931163526,1,0.5924258440516275
Itga4,x14154x07,6.376319071060792,4326,subq,0.0520000070222274,1,0.09482354221700291
Itga5,x14154x07,7.869154120924577,4326,subq,0.08875411633298577,1,0.13454782725793998
Itga6,x14154x07,7.2953600587973595,4326,subq,0.09114530233602386,1,0.13454782725793998
Itga7,x14154x07,6.0786301301799925,4326,subq,0.0647297692395202,1,0.10561172875921716
Itga8,x14154x07,6.823260390600895,4326,subq,0.030203998749291423,0.9363239612280341,0.0741992688306477
Itga9,x14154x07,3.8069184468277326,4326,subq,0.5542048218547483,1,0.5924258440516275
Itgad,x14154x07,10.144849299595167,4326,subq,0.020828407777871937,0.64568064111403,0.0741992688306477
Itgae,x14154x07,4.017809535401478,4326,subq,0.36772396923891304,1,0.4222015943113446
Itgal,x14154x07,7.546365511141522,4326,subq,0.20718221752655147,1,0.267610364305129
Itgam,x14154x07,8.386426533014003,4326,subq,0.601828703603746,1,0.6218896603905375
Itgav,x14154x07,4.79129526824534,4326,subq,4.438781934106865e-5,0.0013760223995731282,6.880111997865641e-4
Itgax,x14154x07,7.869154120924577,4326,subq,0.22857448127802016,1,0.283432356784745
Itgb1,x14154x07,5.461308678926263,4326,subq,7.670691398475437e-5,0.0023779143335273855,7.926381111757952e-4
Itgb1bp1,x14154x07,2.2125897024166097,4326,subq,0.004546460104315552,0.14094026323378211,0.028188052646756424
Itgb1bp2,x14154x07,4.610583636340957,4326,subq,0.025795247296450965,0.7996526661899799,0.0741992688306477
Itgb2,x14154x07,7.151538855615757,4326,subq,0.3343362577558925,1,0.398631691939718
Itgb2l,x14154x07,6.217646560600807,4326,subq,0.03836315151805552,1,0.08494697836140866
Itgb3,x14154x07,5.764612902537771,4326,subq,0.13508571063005417,1,0.19034804679689452
Itgb3bp,x14154x07,3.134199315738471,4326,subq,0.8038896000753253,1,0.8038896000753253
Itgb4,x14154x07,6.976497313913127,4326,subq,0.05902345016302516,1,0.10165149750298778
Itgb5,x14154x07,6.786586251679035,4326,subq,0.001644882770776332,0.05099136589406629,0.012747841473516573
Itgb6,x14154x07,4.332923218415432,4326,subq,0.01647587527307416,0.510752133465299,0.07296459049504272
Itgb7,x14154x07,5.302551295039666,4326,subq,0.04538936955899314,1,0.08794190352054922
Itgb8,x14154x07,2.8024187098586535,4326,subq,0.01338457006109488,0.41492167189394125,0.06915361198232355
Itgbl1,x14154x07,3.1362019990073136,4326,subq,0.20446399213874655,1,0.267610364305129
Itga1,x14154x08,3.736547209440592,3143,subq,3.184793639223611e-5,9.872860281593195e-4,6.880111997865641e-4
Itga10,x14154x08,6.406874308818852,3143,subq,0.044618592516688316,1,0.08794190352054922
