box,slot,mouse_num,organ,stain,patho assigned?,definitive,NED <150 d,TNP,notes,Category 1,Category 2,aod,has_scan,scan box,sb slot,cassette position,confirm can/should scan,not scanned reason,renamed,resultant geno,exclude,coh,gnotes.2,tumor1 ,t1 size (mm2),Annotated mrxs?,grouping 2,tumor2,t2 size (mm2),grouping,Sheri Notes,gnotes.1,1st note date (G),2nd note,note,box_label,blue,cyan,yellow,orange,green,black,pink,send for RNA?,hypercellular,necrosis,Pseudopalisading quality,PPN,glomeruloid mvp,whorls,high N/C,marked pleomorphism,pleomorphic/myxoid,Super high MF,Elevated MF,abnormal mitoses,rosenthall-ish fibers,strong rosettes,weak rosettes,entrapped neurons,diffuse HC,foamy cytoplams,giant cells,fibrillary appearance,B-type,lipo accumulation,hylenized,pomegranate/structural,adenoid,lymphocyte infiltration,ned,Grade (H/L),location
NFG03,006,22921,B,HE,,0,1,,,NED?,,104,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Several very small, mostly diffuse lesions. Diffusely hypercelluar, and areas with perineuronal accumulation indicative of invasion. Would need additional stainings to give a better assessment and pull out tumor from normal tissue. Low grade. ",,,,,,,low grade diffuse with PNS/EN,,"Grade 2- think layer of TT perimeter of brain. AA, plus small N areas. ",9/11,10/23,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,007,22922,B,HE,,0,,,,3.1,,148,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"""Lipo"" areas. 1 very small, dense area along creases with possible adenoid morphology. Possible pseudorosette and entrapped neuron formation in 1 area. ",,,,,,,,,AA. possible infiltrating Astrocytoma but may be lymphocytes. Likely grade 1. ,9/11,10/23,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,008,22923,B,HE,,0,,,,3.1,,113,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Structure composed of many rosenthall fibers? outside brain. Appearance of remnants of tumor tissue outside brain. Lipomatous? aspect in large area of brain (snap), with diffusely invasding neoplastic cells. Striatum also has a strange shape/appearance, but may be the way the slice was cut. Area with narrow stream of tumor cells invading parenchyma (snapped). Several areas similar to B. Diffusely HC component. Additional area adjacent to brain, darker pink, low-grade appearing tumor, circumscribed. ",,,,,,,,,"Small grade 2? tumor outside proximal brain slice. In brain, AA, maybe IA or lymphocytes. ",9/11,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,010,22925,B,HE,1,1,,,,1.2.NOS,,105,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Some small points of hypercellular aggregations inside parenchyma. Some small, high-grade appearing infiltration into parenchuma.  Large mid-grade tumor outside brain, with pilocytic features including rosenthal fibers. Nuclear and cellular pleomorphism. Areas of dense hypercellularity/hyperchromasia. Only slightly elevaed Mfs. ",1.01,9.1,,,,,,,Large low-grade tumor outside brain. AA. ,9/11,,tumor on bottom of brain,Nf-1 N-TVA original H&E 22841-25084,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG05,032,22925,B,NF1,,1,,,,,,105,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,NA,9/11,,nf1 ab 1:300,nf1 optimization ab slides tva- brains 9/1/20 ZL / nf1 big tumor slides #1 + tva -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,019,22925,B,PERK,,1,,,see ppt. Elevated in tumor. ,,,105,Y,SB07,1,2,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,Diffuse areas of elevated perk. Plus one area in tumor with large high-elevated perk stain. ,,,,,,,,,"Most of large tumor is Perk negative, but several pockets of perk-pos cells. ",9/11,,,stained ihc slides perk and nf1 for nf1 project ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,087,22925,B,S100,,1,,,,,,105,Y,SB07,2,3,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,a few small areas of positivity - not sure if these are tumor cells or just blood vessels. ,,,,,,,,,S100-positive small lesions matching with AA. ,9/11,,,nf1 ntva attempt at s100 and ki67 (did not work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,011,23021,B,HE,1,1,,,,2.4.NOS,,93,Y,SB07,3,4,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,Massive tumor outside brain. Also large high-grade tumor inside brain. Tumor in various locations has highly variable appearance with features of many many types of tumors. ,1.02,56,,,1.01-b,1.6,,,Massive grade 4 tumors displacing brain. ,9/11,,,Nf-1 N-TVA original H&E 22841-25084,4,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,ob
NFG05,029,23021,B,NF1,,1,,,,,,93,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,NA,9/11,,nf1 ab 1:300,nf1 optimization ab slides tva- brains 9/1/20 ZL / nf1 big tumor slides #1 + tva -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,014,23021,B,PERK,,1,,,,,,93,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Many areas of high-positive, throughout tissue.",,,,,,,,,"Many areas of high-positive, throughout tissue. ",9/11,,,stained ihc slides perk and nf1 for nf1 project ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
