gene_name,gene_id,logFC,logCPM,PValue,FDR,raw_read_count_x23908x30,raw_read_count_x23908x31,raw_read_count_x23908x16,rpkm_x23908x30,rpkm_x23908x31,rpkm_x23908x16
Postn,50706,10.417869967390502,8.8691179015689,3.458099454104558e-123,4.352261369271573e-119,9,16,4969,0.25710554121189927,0.36301254247217424,363.58807639390005
Xist,213742,10.576100750067633,8.778330050144925,4.8571233947617906e-123,4.352261369271573e-119,7,14,4669,0.03801211887223341,0.06037884416244543,64.94109706202235
Col1a1,12842,9.948839920865094,11.400526291598668,6.824222081124088e-123,4.352261369271573e-119,86,115,28527,1.411098495589745,1.498612803129489,1198.9102910325166
Mucl2,20770,10.533192240285913,6.386694280801237,2.0466394974940543e-104,9.789588376388435e-101,0,4,920,0,0.33930316126789933,251.68349124435687
NA,238447,11.239065936445376,6.190371385476176,2.6433408143485497e-102,1.011500796018616e-98,2,0,808,0.1588574101347354,0,164.384381280458
Obp1a,18249,11.985305411596105,6.122873802999801,1.7741888129055663e-101,5.657592426220367e-98,1,0,773,0.12853390185934668,0,254.48892881619358
H19,14955,9.211625927164462,5.996587557896171,6.776969083872933e-100,1.852339278310583e-96,5,3,709,0.21263147663357834,0.10132381334628159,77.22812562292816
NA,16071,10.148686663151162,5.985304375669994,1.5901765499557772e-99,3.803105991287986e-96,1,3,705,0.304063011586017,0.7244652654259132,549.0658310772568
NA,115487426,8.547938095590679,6.321150112360952,5.149959197712543e-99,1.094824103664823e-95,7,9,877,0.03211680793854284,0.03279514569759404,10.306367784591489
Col1a2,12843,8.950728091183121,10.879687580175332,1.8029386119249827e-95,3.4495624461960695e-92,100,180,19854,1.8632739124382505,2.663679260087617,947.5375493388622
Emp1,13730,7.999552862334306,6.779097157562687,2.3047154207920227e-95,4.008738195092161e-92,17,15,1188,0.511947627059094,0.3587571726033616,91.63571269564129
H2-Aa,14960,10.161444099411405,5.59712257564603,6.95026815439753e-94,1.1081623383173994e-90,1,2,547,0.08625901037901193,0.13701470740915622,120.8546892406859
Scgb1b2,57426,13.512295888751215,5.602855734599576,7.875540908862324e-94,1.1590978785327911e-90,0,0,550,0,0,327.14022332672255
Mmp13,17386,13.477789347399403,5.565985805295073,2.7995986282978737e-93,3.8260514682302298e-90,0,0,537,0,0,50.030607761551444
Gm5938,546335,13.436920699908203,5.5222482382107385,1.5835643133723962e-92,1.9695260716492156e-89,0,0,522,0,0,167.86265188404482
Col5a2,12832,7.722136971333979,8.51143780447547,1.6470191369041682e-92,1.9695260716492156e-89,54,73,3855,0.7942870506736771,0.8527845099697321,145.23785062251685
Loxl2,94352,7.830997131742602,6.178739058731306,3.503243842172932e-91,3.942797907782042e-88,11,13,795,0.18264535849535493,0.17143205370715583,33.81074901993419
Nlrc5,434341,8.218701902371619,6.071107798029793,1.4279591143513422e-90,1.5178412074935682e-87,13,4,742,0.15981075529978908,0.03905308653380371,23.363519474376936
Lox,16948,7.8687507729388155,6.15344311138911,4.8665006822513125e-90,4.900566187027072e-87,8,15,782,0.16236990188990477,0.24179066013380504,40.65313129851226
Col6a2,12834,7.406691324133831,7.661981153678246,7.428455536225052e-90,7.106431988729696e-87,42,46,2151,0.6795156095304403,0.5910724258435562,89.13787282324633
H2-Q4,15015,7.331747357682299,6.138316095519241,1.4322756985101036e-86,1.3049395685520863e-83,18,15,771,0.9768003049277513,0.6464832262584836,107.1665791263747
H2-Ab1,14961,7.705168974966405,5.529528515455093,3.5915190803634326e-86,3.1234788438451615e-83,8,9,519,0.6524738555408244,0.5829728875179184,108.4206966468832
Col3a1,12825,9.712823072571059,10.463206256227576,5.653297670333392e-85,4.690675587018513e-82,32,92,14910,0.5595983534580903,1.2777532598932955,667.8451884800995
Iigp1,60440,7.695619571996213,5.520744214010265,5.883876762057404e-85,4.690675587018513e-82,11,6,516,0.30746963538718175,0.13319671642418401,36.94289772747158
Tnc,21923,6.995409164160311,8.665963199743299,1.0980526200266968e-82,8.403616311588317e-80,127,105,4260,1.6100483115121473,1.0572001267453066,138.3300373644774
Ibsp,15891,12.952098490632743,4.996947725012033,6.904439138907303e-82,5.080870540181285e-79,0,0,373,0,0,47.54965271617158
Scgb2b2,381970,12.94434302843056,4.9884381536524005,1.126057516392107e-81,7.979577207825993e-79,0,0,371,0,0,180.5881412497006
Col6a3,12835,6.70562030256291,8.48535061297151,2.2479162004343878e-80,1.5360493093896837e-77,121,129,3750,1.084299116652291,0.9180919186093726,86.07295431974963
Mmp2,17390,6.808448270973179,5.847867772286138,1.711020650362038e-79,1.1288606242543748e-76,21,18,633,0.6377351553864026,0.434136488644742,49.23755533553322
Bgn,12111,7.719066805934564,8.517116359659118,2.0373758879354417e-79,1.2993704287956269e-76,42,86,3870,1.643187324373168,2.67219998720294,387.81129972656385
Piezo2,667742,6.766976449568586,6.322926879738415,2.5717023669072607e-78,1.587238109226988e-75,33,22,866,0.28193040673881287,0.1492737281177285,18.95036496060706
Col14a1,12818,6.846824995561879,5.488325919448514,4.976801262765172e-78,2.975660580015188e-75,14,16,501,0.19142809048698092,0.1737522090584915,17.54636121940883
NA,118567414,9.4363457478745,4.811953175858253,1.7793722448556778e-77,1.0316584594188994e-74,2,1,331,0.10513253777150236,0.04174840355416753,44.56632820879115
H2-K1,14972,6.863388155014227,7.162665308808663,4.029687823847446e-77,2.267647562755094e-74,35,56,1524,1.5643113136258109,1.98781466183316,174.46640702102027
