31 samples,mouse_num,,slides req,,samples and slides in text
1,22925,HCI-20-22925-BR,9,HCI-20-22925-BR : 9,HCI-20-22925-BR : 9; HCI-20-23021-BR : 5; HCI-20-23287-BR : 7; HCI-20-23288-BR : 4; HCI-20-23397-BR : 7; HCI-20-23463-BR : 4; HCI-20-23465-BR : 3; HCI-20-23467-BR : 6; HCI-20-23527-BR : 11; HCI-20-23786-BR : 6; HCI-20-23823-BR : 7; 23967B : 8; HCI-20-24988-BR : 7; HCI-20-25025-BR : 5; HCI-20-25027-BR : 3; HCI-20-25238-H : 3; HCI-20-25504-T1 : 2; HCI-25690-20 : 8; HCI-20-25741 : 9; HCI-20-25743-H : 3; HCI-22-26014 T1 : 5; HCI-20-26024 H : 3; HCI-21-26138 : 7; HCI-21-26140 : 7; HCI-26143 : 8; HCI-22-25200 T1 : 8; 28208 B MF : 8; NF1 28528 B : 6; NF1 28529 B : 7
2,23021,HCI-20-23021-BR,5,HCI-20-23021-BR : 5,
3,23287,HCI-20-23287-BR,7,HCI-20-23287-BR : 7,
4,23288,HCI-20-23288-BR,4,HCI-20-23288-BR : 4,
5,23397,HCI-20-23397-BR,7,HCI-20-23397-BR : 7,
6,23463,HCI-20-23463-BR,4,HCI-20-23463-BR : 4,
1,23465,HCI-20-23465-BR,3,HCI-20-23465-BR : 3,
2,23467,HCI-20-23467-BR,6,HCI-20-23467-BR : 6,
3,23527,HCI-20-23527-BR,11,HCI-20-23527-BR : 11,
4,23786,HCI-20-23786-BR,6,HCI-20-23786-BR : 6,
5,23823,HCI-20-23823-BR,7,HCI-20-23823-BR : 7,
6,23967,23967B,8,23967B : 8,
1,24988,HCI-20-24988-BR,7,HCI-20-24988-BR : 7,
2,25025,HCI-20-25025-BR,5,HCI-20-25025-BR : 5,
3,25027,HCI-20-25027-BR,3,HCI-20-25027-BR : 3,
4,25238,HCI-20-25238-H,3,HCI-20-25238-H : 3,
5,25504,HCI-20-25504-T1,2,HCI-20-25504-T1 : 2,
6,25690,HCI-25690-20,8,HCI-25690-20 : 8,
1,25741,HCI-20-25741,9,HCI-20-25741 : 9,
2,25743,HCI-20-25743-H,3,HCI-20-25743-H : 3,
3,26014,HCI-22-26014 T1,5,HCI-22-26014 T1 : 5,
4,26024,HCI-20-26024 H,3,HCI-20-26024 H : 3,
5,26138,HCI-21-26138,7,HCI-21-26138 : 7,
6,26140,HCI-21-26140,7,HCI-21-26140 : 7,
1,26143,HCI-26143,8,HCI-26143 : 8,
2,28200,HCI-22-25200 T1,8,HCI-22-25200 T1 : 8,
3,28208,28208 B MF,8,28208 B MF : 8,
4,28528,NF1 28528 B,6,NF1 28528 B : 6,
5,28529,NF1 28529 B,7,NF1 28529 B : 7,
,36183,HCI-24-36183-B,2,,
,36184,HCI-24-36184-B,2,,
