Conc. (ng/uL)	RIN	Input	Volume (uL)	Yield (ng)	Kit Lot#	Kit Exp. Date	Specimen Comments	DIN	Qubit	Unstained Slide Label	QC 260/280	CORE Sample Alias	CORE Sample ID	ID	Sample Name	QC Status	Description
	1.5	8 Slides	20	2420.0	175025456	1/5/2025			121	HCI-20-22925-BR	1.88			S1342X1	HCI-20-22925-BR		
	1.1	5 Slides	20	2940.0	175025456	1/5/2025			147	HCI-20-23021-BR	1.89			S1342X2	HCI-20-23021-BR		
	1.5	7 Slides	20	2680.0	175025456	1/5/2025			134	HCI-20-23287-BR	1.90			S1342X3	HCI-20-23287-BR		
	1.6	4 Slides	20	13380.0	175025456	1/5/2025			669	HCI-20-23288-BR	1.96			S1342X4	HCI-20-23288-BR		
	1.2	7 Slides	20	3540.0	175025456	1/5/2025			177	HCI-20-23397-BR	1.87			S1342X5	HCI-20-23397-BR		
	1.9	4 Slides	20	21600.0	175025456	1/5/2025			1080	HCI-20-23463-BR	1.91			S1342X6	HCI-20-23463-BR		
	1.7	3 Slides	20	18580.0	175025456	1/5/2025			929	HCI-20-23465-BR	1.91			S1342X7	HCI-20-23465-BR		
	2.1	6 Slides	20	6620.0	175025456	1/5/2025			331	HCI-20-23467-BR	1.92			S1342X8	HCI-20-23467-BR		
	1.3	11 Slides	20	1788.0	175025456	1/5/2025			89.4	HCI-20-23527-BR	1.79			S1342X9	HCI-20-23527-BR		
	1.4	6 Slides	20	17680.0	175025456	1/5/2025			884	HCI-20-23786-BR	1.99			S1342X10	HCI-20-23786-BR		
	2	7 Slides	20	3960.0	175025456	1/5/2025			198	HCI-20-23823-BR	1.94			S1342X11	HCI-20-23823-BR		
	1.1	8 Slides	20	1224.0	175025456	1/5/2025			61.2	23967B	2.51			S1342X12	23967B		
	1	7 Slides	20	1546.0	175025456	1/5/2025			77.3	HCI-20-24988-BR	2.11			S1342X13	HCI-20-24988-BR		
	1.7	5 Slides	20	7120.0	175025456	1/5/2025			356	HCI-20-25025-BR	1.97			S1342X14	HCI-20-25025-BR		
	2.6	3 Slides	20	12160.0	175025456	1/5/2025			608	HCI-20-25027-BR	1.82			S1342X15	HCI-20-25027-BR		
	1.5	3 Slides	20	4960.0	175025456	1/5/2025			248	HCI-20-25238-H	1.89			S1342X16	HCI-20-25238-H		
	1.5	2 Slides	20	21400.0	175025456	1/5/2025			1070	HCI-20-25504-T1	1.96			S1342X17	HCI-20-25504-T1		
	1	8 Slides	20	2140.0	175025456	1/5/2025			107	HCI-25690-20	1.92			S1342X18	HCI-25690-20		
	1.6	9 Slides	20	1018.0	175025456	1/5/2025			50.9	HCI-20-25741	2.40			S1342X19	HCI-20-25741		
	1.4	3 Slides	20	10160.0	175025456	1/5/2025			508	HCI-20-25743-H	1.99			S1342X20	HCI-20-25743-H		
	1.8	5 Slides	20	1414.0	175025456	1/5/2025			70.7	HCI-22-26014 T1	1.93			S1342X21	HCI-22-26014 T1		
	1.7	3 Slides	20	8400.0	175025456	1/5/2025			420	HCI-20-26024 H	1.99			S1342X22	HCI-20-26024 H		
	1.7	7 Slides	20	6980.0	175025456	1/5/2025			349	HCI-21-26138	1.86			S1342X23	HCI-21-26138		
	1.3	7 Slides	20	4000.0	175025456	1/5/2025			200	HCI-21-26140	1.90			S1342X24	HCI-21-26140		
	1.5	8 Slides	20	5820.0	175025456	1/5/2025			291	HCI-26143	1.90			S1342X25	HCI-26143		
	2.2	8 Slides	20	7220.0	175025456	1/5/2025			361	HCI-22-28200 T1	1.92			S1342X26	HCI-22-28200 T1		
	2	8 Slides	20	4520.0	175025456	1/5/2025			226	28208 B MF	1.90			S1342X27	28208 B MF		
	1.6	6 Slides	20	7500.0	175025456	1/5/2025			375	NF1 28528 B	1.90			S1342X28	NF1 28528 B		
	1.6	7 Slides	20	4660.0	175025456	1/5/2025			233	NF1 28529 B	1.88			S1342X29	NF1 28529 B		
	3.2	2 Slides	20	2340.0	175025456	1/5/2025			117	HCI-24-36183-B	1.88			S1342X30	HCI-24-36183-B		
	3.2	2 Slides	20	1166.0	175025456	1/5/2025			58.3	HCI-24-36184-B	1.64			S1342X31	HCI-24-36184-B		
	1.6	2 scrolls	20	460.0	175025456	1/5/2025			23		1.70	22-0008763.1g-01		S1342X32	22-0008763.1g		
	1.8	2 scrolls	20	1156.0	175025456	1/5/2025			57.8		1.83	22-0008763.1h-01		S1342X33	22-0008763.1h		
	1.3	2 scrolls	20	125.0	175025456	1/5/2025			6.25		1.36	22-0008763.1i-01		S1342X34	22-0008763.1i		
