GeneID	Length	X23908X10_20240412_LH00227_0067_A22KHYJLT3_S27_L003.resultsAligned.sortedByCoord.out.bam
100009600	1010	0
100009609	2538	0
100009614	564	0
100009664	2398	0
100012	1854	0
100017	6562	60
100019	18232	1013
100033459	5507	0
100034251	469	0
100034361	1887	243
100034363	681	0
100034675	1705	3
100034684	441	0
100034726	539	39
100034729	2065	1
100034739	3329	3
100034748	2863	0
100036518	1086	0
100036520	1678	0
100036521	2252	47
100036523	2620	26
100036537	1275	28
100036568	7084	22
100036569	2099	10
100036768	2765	11
100037258	5163	505
100037260	1689	3
100037262	1401	26
100037278	6246	21
100037282	1614	43
100037283	1154	152
100037396	2536	75
100037413	1316	0
100038347	2678	93
100038353	2301	19
100038356	3118	19
100038358	2796	0
100038363	2777	22
100038371	934	0
100038374	874	0
100038378	1982	0
100038382	357	0
100038384	8264	3
100038388	8019	3
100038392	1709	47
100038394	1170	1
100038410	4259	10
100038411	2872	5
100038417	2359	1
100038429	2280	0
100038433	3129	4
100038437	542	0
100038439	3906	0
100038453	2439	3
100038454	1349	10
100038460	2102	53
100038464	1673	1
100038467	4202	9
100038468	2203	0
100038479	1548	0
100038481	723	0
100038489	974	0
100038492	10759	424
100038493	2655	4
100038494	1480	0
100038497	9246	25
100038504	1361	3
100038505	501	0
100038513	1853	8
100038514	1028	2
100038516	1134	0
100038522	1385	12
100038525	2923	3
100038526	2238	37
100038528	885	3
100038532	945	3
100038538	1652	15
100038543	2399	3
100038545	1523	0
100038554	3655	0
100038555	2876	1
100038556	762	0
100038560	1651	32
100038566	1133	12
100038570	2527	3
100038571	537	0
100038574	2825	0
100038575	3721	1
100038577	1696	5
100038582	1597	0
100038584	1794	0
100038591	2552	31
100038595	2322	0
100038599	3971	0
100038600	2063	0
100038601	1203	0
100038602	712	4
100038607	2419	0
100038608	3468	27
100038610	2156	0
100038614	1654	88
100038617	2466	0
100038618	378	7
100038623	815	0
100038627	3164	0
100038628	2043	2
100038636	2078	0
100038638	2743	2
100038653	1879	90
100038654	1411	7
100038657	1545	0
100038659	971	0
100038666	820	0
100038671	1307	0
100038689	842	5
100038690	1309	5
100038693	1758	7
100038699	1633	1
100038700	3421	1
100038706	839	0
100038709	4591	0
100038712	2612	25
100038713	4791	1
100038714	1529	10
100038718	2582	0
100038725	8637	282
100038726	3629	1
100038728	668	2
100038732	870	0
100038734	3389	6
100038735	2110	0
100038739	2848	24
100038743	1347	7
100038746	1912	35
100038752	4548	10
100038755	5230	43
100038759	3798	2
100038761	1309	1
100038847	4901	23
100038850	338	0
100038854	387	0
100038859	948	2
100038860	948	2
100038862	2256	0
100038882	756	2
100038909	2208	1
100038912	715	0
100038927	422	0
100038941	3062	0
100038947	1679	4
100038948	1056	0
100038949	2049	0
100038967	3175	0
100038969	410	1
100038971	120	0
100038977	923	0
100038982	4341	0
100038987	1672	0
100038992	234	0
100038995	1770	0
100038997	658	0
100039008	1045	0
100039010	1822	0
100039014	795	0
100039019	2594	0
100039026	1478	57
100039027	588	21
100039028	999	0
100039029	454	0
100039030	892	0
100039034	795	0
100039042	1766	4
100039043	1810	10
100039045	3342	43
100039052	1822	1
100039054	1079	0
100039055	650	0
100039060	9773	167
100039062	3025	6
100039065	907	0
100039078	352	1
100039087	2024	0
100039089	936	0
100039100	818	0
100039116	1042	0
100039120	890	0
100039123	13538	161
100039138	2761	7
100039139	2926	6
100039148	2914	2
100039150	1059	1
100039176	561	0
100039177	1064	1
100039184	516	13
100039186	367	2
100039206	1028	1
100039210	2872	1
100039222	1433	39
100039225	573	5
100039239	4742	43
100039240	889	0
100039252	1602	26
100039269	2776	0
100039284	1237	16
100039315	1893	0
100039319	348	0
100039324	893	0
100039332	3227	134
100039348	1734	0
100039350	736	1
100039374	3423	4
100039377	921	0
100039432	1957	1
100039436	3482	3
100039440	718	1
100039441	2989	14
100039446	1640	1
100039452	697	0
100039467	907	0
100039478	333	0
100039479	903	0
100039495	899	1
100039499	2230	0
100039532	438	31
100039542	3055	0
100039548	757	0
100039550	924	0
100039551	1032	0
100039574	999	0
100039585	894	0
100039595	795	0
100039596	4059	3
100039614	995	0
100039636	1133	351
100039641	2361	0
100039672	743	0
100039674	4539	13
100039681	2202	1
100039684	2311	27
100039691	3544	6
100039706	4075	0
100039707	4752	83
100039727	921	0
100039736	838	0
100039739	1651	0
100039753	1796	0
100039763	997	2
100039781	913	2
100039786	1476	257
100039789	673	0
100039790	347	0
100039794	1130	56
100039795	8712	577
100039796	2816	4
100039801	663	0
100039805	1062	2
100039810	1221	0
100039815	1703	19
100039830	1703	19
100039837	1573	5
100039861	879	0
100039863	3544	6
100039864	606	36
100039890	2113	4
100039895	1350	0
100039899	2252	0
100039901	9175	12
100039904	739	0
100039911	1089	0
100039913	1179	0
100039934	2028	4
100039946	1676	0
100039948	1028	0
100039953	1877	0
100039954	955	1
100039957	2478	12
100039964	18344	48
100039968	1139	9
100039992	1298	0
100040016	974	0
100040018	576	4
100040019	1084	1
100040020	938	0
100040022	687	0
100040030	902	0
100040031	1225	0
100040035	673	4
100040048	3687	5
100040049	930	0
100040160	758	0
100040171	795	0
100040187	687	0
100040201	570	0
100040208	870	0
100040214	550	0
100040223	1342	0
100040233	1137	0
100040248	1018	0
100040249	511	0
100040260	1031	6
100040262	795	0
100040268	1945	0
100040271	856	0
100040276	1200	0
100040293	1257	3
100040294	797	11
100040298	883	88
100040299	783	0
100040322	1898	18
100040328	1573	0
100040335	795	0
100040339	1575	0
100040357	120	0
100040363	120	0
100040416	742	25
100040417	782	0
100040421	2339	0
100040429	684	0
100040447	2273	0
100040448	1983	0
100040458	1934	0
100040462	4890	26
100040482	1949	1
100040500	5965	854
100040507	1270	0
100040525	4045	69
100040529	26831	181
100040531	1164	173
100040533	1950	1
100040545	2138	0
100040552	778	0
100040557	916	0
100040563	3046	266
100040567	646	0
100040572	733	0
100040585	957	0
100040591	6225	173
100040599	2514	28
100040606	1951	0
100040608	1691	32
100040617	718	0
100040632	1478	0
100040635	3815	1
100040657	746	0
100040671	3527	47
100040682	920	4
100040697	748	2
100040698	1960	0
100040710	3329	0
100040712	669	0
100040714	699	0
100040722	1943	0
100040724	1300	18
100040732	1701	0
100040736	2908	8
100040766	8603	1
100040769	20593	96
100040771	1791	0
100040781	1920	0
100040786	1149	0
100040792	677	0
100040807	4351	12
100040822	6017	21
100040843	2067	0
100040846	3094	23
100040851	1193	0
100040852	5217	27
100040854	2103	0
100040861	2104	0
100040867	745	0
100040870	2728	12
100040880	858	3
100040882	2439	0
100040885	1951	0
100040894	745	0
100040899	817	0
100040902	1312	0
100040911	997	0
100040926	2348	0
100040935	4356	12
100040937	1244	0
100040938	7702	9
100040944	4104	116
100040961	698	37
100040970	694	53
100040972	971	0
100040981	1599	0
100040999	628	3
100041012	2618	5
100041014	756	0
100041032	1550	0
100041033	730	0
100041034	1462	0
100041054	713	0
100041057	4107	0
100041062	549	0
100041076	615	0
100041077	2405	0
100041085	1787	0
100041089	2495	12
100041096	518	0
100041099	997	0
100041102	2064	0
100041106	1586	0
100041108	960	7
100041115	1610	0
100041121	1080	0
100041139	615	0
100041146	2422	0
100041151	5353	41
100041177	615	0
100041179	1770	0
100041187	939	0
100041194	11477	34
100041223	863	0
100041224	522	0
100041230	405	50
100041231	632	25
100041239	375	2
100041241	16594	60
100041244	2092	2
100041250	1122	0
100041253	2901	0
100041256	1218	0
100041261	693	0
100041262	2410	4
100041264	1599	0
100041273	493	8
100041279	1737	5
100041281	883	0
100041283	3188	16
100041284	1199	0
100041286	592	9
100041289	1653	335
100041290	805	1
100041294	710	2
100041296	2299	0
100041306	3274	20
100041311	1306	1
100041339	1092	0
100041346	811	0
100041347	1003	1
100041351	664	0
100041352	2757	0
100041354	2041	0
100041356	11331	0
100041362	699	0
100041375	2066	0
100041379	3990	0
100041412	663	0
100041420	5739	100
100041426	2337	0
100041433	3191	1
100041449	3894	0
100041479	1390	1
100041480	1660	123
100041488	638	0
100041505	1580	0
100041515	2324	15
100041530	1990	9
100041546	925	2
100041548	1223	0
100041550	1212	0
100041554	1173	0
100041562	2947	5
100041566	1190	0
100041574	4522	2772
100041576	7912	0
100041578	1190	0
100041579	377	0
100041581	7550	243
100041585	3201	225
100041586	787	695
100041596	2866	1
100041598	615	0
100041605	521	1
100041618	416	0
100041621	4800	3087
100041631	1221	0
100041639	787	847
100041655	680	23
100041658	1039	0
100041660	1189	0
100041677	7263	39
100041678	3100	20
100041680	2119	42
100041687	1033	0
100041688	403	0
100041694	893	0
100041697	627	17
100041702	934	0
100041708	2578	0
100041712	1822	0
100041722	2661	0
100041724	676	5
100041734	3616	63
100041735	4809	18
100041739	1387	0
100041749	1236	0
100041759	282	0
100041774	993	0
100041787	421	0
100041805	1676	21
100041806	2653	0
100041811	282	0
100041840	1573	0
100041874	2055	38
100041877	296	0
100041879	1905	7
100041890	427	0
100041895	404	0
100041903	1192	0
100041931	2210	3
100041951	1613	0
100041952	376	0
100041953	801	73
100041958	1398	19
100041964	721	0
100041965	963	114
100041968	386	0
100041979	9957	40
100042013	684	0
100042023	439	6
100042024	3090	3
100042049	810	36
100042054	1340	7
100042055	847	0
100042056	4486	77
100042057	1678	1
100042065	370	0
100042074	1287	124
100042079	808	0
100042100	2797	20
100042109	874	0
100042110	669	0
100042118	444	0
100042129	657	0
100042130	930	0
100042132	1083	2
100042143	2865	27
100042144	894	0
100042149	2222	38
100042150	14695	82
100042159	1960	0
100042165	11010	738
100042166	2310	5
100042168	1949	0
100042173	824	34
100042175	924	0
100042178	3532	1
100042182	793	1
100042194	2037	1
100042198	2872	1
100042201	669	0
100042218	659	0
100042225	2568	0
100042226	1191	1
100042235	5766	48
100042237	9140	10
100042254	1949	0
100042268	684	0
100042275	1943	0
100042277	2915	1094
100042279	669	0
100042291	1887	0
100042294	2467	0
100042295	874	0
100042304	2826	14
100042314	874	0
100042332	1707	10
100042335	460	9
100042337	795	0
100042342	893	0
100042372	330	0
100042384	327	0
100042410	337	0
100042415	2774	2
100042417	669	0
100042419	335	0
100042428	995	0
100042437	921	0
100042444	348	0
100042450	2171	5
100042458	6222	129
100042465	1844	0
100042470	338	0
100042475	684	0
100042479	328	0
100042480	46714	669
100042484	3041	0
100042493	4053	14
100042498	1766	44
100042499	2834	1
100042503	471	7
100042514	852	0
100042519	9799	11
100042533	1503	2
100042539	3558	0
100042548	484	0
100042555	2287	7
100042560	343	0
100042565	795	0
100042568	331	0
100042574	334	0
100042577	2686	1
100042578	669	0
100042579	331	0
100042584	4750	65
100042591	2675	0
100042593	331	0
100042594	913	0
100042603	1095	2
100042605	636	0
100042607	331	0
100042614	347	0
100042625	4426	82
100042636	2582	0
100042639	1088	0
100042648	722	0
100042653	2648	0
100042663	510	0
100042669	684	0
100042678	434	0
100042679	4221	106
100042690	1101	0
100042698	8078	5
100042715	2515	0
100042757	416	3
100042761	1023	0
100042773	5982	128
100042776	1216	0
100042781	2559	0
100042782	733	0
100042784	17999	106
100042785	786	0
100042786	689	0
100042794	344	0
100042802	1996	1
100042807	2419	280
100042810	2559	0
100042814	1193	1
100042819	1324	0
100042827	1820	1
100042840	336	0
100042848	2559	0
100042849	1580	0
100042855	345	0
100042856	9037	98
100042874	1580	0
100042875	6786	14
100042880	617	68
100042881	1580	0
100042889	1726	4
100042891	2776	0
100042894	2430	37
100042916	1528	8
100042921	2559	0
100042922	501	0
100042926	1016	0
100042927	490	0
100042929	318	0
100042931	318	0
100042939	318	0
100042940	6561	937
100042943	509	0
100042944	442	0
100042945	1313	1
100042946	318	0
100042948	3445	18
100042951	1704	29
100042953	837	0
100042960	2190	0
100042964	924	0
